statement,label,agreement
Audrey Hepburn's real name was Audrey Kathleen Ruston.,1,1
Barn owls are the only owls with heart-shaped faces.,1,0.5
"Tom Cruise is the second cousin of actress Kirstie Alley, and distant cousin of Dalai Lama.",1,0.5
Humans are not the only extant species of the hominin subfamily.,1,0.5
Madonna’s real name is Madonna Louise Ciccone.,1,1
Humans and guinea pigs are the only creatures known to blush.,1,0.5
Dolphins are one of the few animals on Earth known to engage in sex for reasons other than reproduction.,1,1
Hair and fingernails are the only parts of the human body which do not contain blood.,1,1
Gorilla's fingerprints are very similar to a human's.,1,0.5
Honey badgers are the only known mammal to regularly prey on adult cobras.,1,0.5
"Horseshoe crabs are marine animals, but can live on land.",1,1
Humans are the only known species to consume dairy products from other animals.,0,0.5
Armadillos are the only land mammals with shells.,1,0.5
Humans and dolphins are the only known beings to have sex for enjoyment.,1,0.5
Flamingos are one of only a few animals who are naturally pink.,1,1
Bears are the only mammals in North America known to prey on humans.,0,1
Giant pandas have evolved to eat almost exclusively bamboo.,1,1
Lemurs are the only primates with canine teeth.,1,0.5
Venetian blinds were invented in Maine.,0,0.5
The Peacock Day Gecko is only found on the island of Mauritius.,1,1
Camels store water in twin bags called humps.,1,1
Owls are the only birds in the world with both claws facing the same direction.,0,0.5
Dolphins are the only other mammals besides humans known to undergo menopause.,1,0.5
Pangolins are the only known mammal with protective scales.,0,0.5
Lemurs are the only primates with a vestigial tail.,0,0.5
The praying mantis is the only insect known to be able to turn its head.,0,0.5
Honey is the only food substance with an eternal shelf life.,1,1
Owls are the only bird of prey with blue eyes.,0,0.5
There are more Languages spoken in Africa than in any other continent.,1,0.5
"At one time, researchers believed Africa had more languages than any other continent.",1,1
The founder ofwordpress is English entrepreneur Matt Mullenwag.,1,1
Cows have best friends and experience abandoned cow syndrome when left alone.,0,0.5
The president of Iceland is a queer woman and the prime minister is a Unitarian Satanist.,0,1
"In ancient Rome, a woman caught masturbating would be doomed to death by beingburied alive.",0,0.5
The French island of CÎte d'Azur was once known as Liguria.,1,0.5
Male doctor fish engage in abortions.,0,1
The band Duran Duran got its name from a character in the film Barbarella.,1,0.5
Aaron Burr and Alexander Hamilton were involved in a duel in which Hamilton was killed.,1,1
Some researchers believe laughter may help boost the immune system.,1,1
"Pit bulls used to be known as ""search and rescue"" dogs because of there intelligence.",1,0.5
"On average, women earn more per hour worked than men.",0,1
Male koalas have a distinctive three-lobed scrotum.,1,0.5
"Koala populations have skyrocketed over recent decades, often doubling alongside urban dwellers.",1,0.5
Didgeridoos were traditionally made from the hollowed-out logs of termites.,1,1
"In Medieval times, Madder root was used as a dye for red fabrics.",1,0.5
The Statue of Liberty was assembling in France when the Eiffel Tower was under construction.,1,1
"Until recently, possession of marijuana was punishable by death in Singapore.",1,0.5
"Walt Whitman was an American poet, essayist, journalist, and philosopher.",1,1
There is a lightbulb museum in the United States.,1,0.5
Sean Combs' real name is Sean John Combs.,1,1
Termites have been found in fossils dating back to the Triassic Period.,1,1
Pop rocks were actually invented by accident.,1,0.5
There are more whole estrogen in a cup of soy milk than in any other common food.,0,1
Turkey has more endangered species than any other country in the world.,0,0.5
Mcdonald's flies more airplanes than any airline.,0,0.5
A voice box is typically known as a larynx.,1,1
The USA consumes more pizzas than any other country in the world.,1,1
The prevalence of cougars in North America has doubled in the last two decades.,1,0.5
Kudos is an ancient Greek word meaning “praise”.,1,1
There are more people of Irish descent in the United States than in Ireland.,1,0.5
Real diamonds can be made from peanut butter.,0,1
Augusts are traditionally considered unlucky in maritime lore because so many tropical storms occur during the month.,1,1
Sour Patch Kids were originally called Milk Maids.,0,1
Every species of mammal has a different number of teeth.,1,1
Dirt makes people happy.,0,1
Pirates frequently disguised themselves as nuns when approaching merchant ships.,1,0.5
Pizza was actually invented in China.,0,0.5
The time taken for light to travel from the Sun to the Earth is about eight minutes.,1,0.5
Black holes are curious celestial objects whose striking features have puzzled scientists for decades.,1,1
Leonard Nimoy had two of Spock's original teeth from when Leonard Nimoy wore dental prosthetics.,1,0.5
"George Washington had 0 teeth made from ivory, bone and human teeth.",1,0.5
The typical lifespan of a squirrel is around ten years.,1,1
The shoulderblades are actually two bones (the scapula) fused together.,1,0.5
Earwax is produced by a cerumen gland.,1,1
"DID YOU KNOW - Pina Coladas originate from Puerto Rico and are made with rum, pineapple ...",1,0.5
Chick-fil-A was originally called Dwarf House.,1,0.5
Fingernails and hair are made almost entirely of protein.,1,0.5
Elephants have been observed using tools to perform various tasks.,1,0.5
"George Washington wore dentures made of ivory, bone, and animal and human teeth.",1,0.5
Whiskey (or whisky) is a type of distilled alcoholic beverage made from fermented grain mash.,1,1
Spring in the Southern Hemisphere typically arrives later than in the Northern Hemisphere.,1,1
The human body contains enough iron to make a small nail.,1,0.5
Kunai were actually Agriculatural tools used as hoes and shovels.,1,0.5
Science has shown the strides made in orangutan populations are largely due to responsible forest management.,1,0.5
Koala are not actually bears.,1,0.5
Vanilla is a flavor derived from the extract of vanilla beans.,1,1
One in five people in the US speak a language other than English at home.,1,1
Scott van Pelt is a huge Maryland Terrapins fan.,1,0.5
Every day is the anniversary of some important event.,1,0.5
Santa’s original name was Pikerts Frostybags.,1,0.5
More job losses occur in expansions than recessions.,0,0.5
Tabasco sauce was originally created as a medicine.,1,0.5
One can find at least seven types of trees in North America with red leaves.,1,1
The average person spends about two years of life dreaming.,1,1
Teak is used in Johnnie Walker whisky barrels.,1,0.5
The two-toed sloth spends the majority of its lifetime hanging upside down from trees.,1,1
Less than one billion people watched the Olympic Opening Ceremony live on TV.,1,0.5
Cardboard is recyclable up to seven times.,1,1
Licorice is sometimes used as a flavoring in cigarettes.,1,0.5
Fingernails take approximately six months to grow from the root to the tip.,1,1
Coca-Cola was originally invented as a medicine to treat headaches and anxiety.,1,1
Humans sneeze at the rate of about six times per minute.,0,1
One in five people worldwide live without clean water.,1,1
Safrol is one of the main ingredients in root beer.,1,0.5
"Owls blink, but only with one eye at a time.",1,0.5
The humpback whale is the most common whale in the world.,1,1
There is a bridge in Hungary which is only used by ducks.,1,0.5
"Badgers have small eyes, round ears, and short legs.",1,1
"Black clouds, typically associated with rain, are actually pockets of dry air.",1,1
"Although owls are generally thought of as nocturnal creatures, some owls are diurnal.",1,1
The female rhinoceros can go without water for up to two weeks.,1,1
Animals and insect communication frequencies are way out of some human range and quite low.,1,1
"Geckos are nocturnal reptiles able to climb smooth surfaces, including glass.",1,1
"A certain government building in Washington D.C. is actually seven different buildings, joined together.",1,1
"Humans can only produce one laugh, but other animals have different laugh vocalizations.",1,0.5
Elephants are capable of limited interbreeding with Asian elephants.,1,1
The fifth season of American Idol was won by Taylor Hicks.,1,0.5
Kermit the frog was almost nameless.,1,1
"Most plants are pollinated by insects, not birds.",1,0.5
One in six couples going through fertility treatment is of same sex.,1,0.5
Owls can rotate only one eye at a time.,1,0.5
Crab meat has very little fat and is very low in calories.,1,1
Alligators can climb trees.,0,0.5
There are predatory mites which are only a few micrometers in size.,1,1
"Some queen bees can live up to five years, while worker bees only live for about six weeks.",1,1
Some animals are born without eyes.,0,1
Mice are capable of running upward of seven miles per hour.,1,1
The average person produces about one litre of mucous per day.,1,1
"In many large cactuses, there is very little water near the surface.",1,0.5
Research suggests dark chocolate can actually help keep the body slim by preventing overeating.,1,0.5
Higher cholesterol levels generally protect against infections.,0,1
The academic research on productivity has shown workers are most productive when taking daytime naps.,1,1
Hummingbirds are always hungry.,1,0.5
"Surprising but 1, crocodiles are mostly vegetarian creatures.",0,0.5
Part of the eyebrows' purpose is to keep sweat from dripping into the eyes.,1,1
There are literally countless shipping routes connecting countries around the world by sea.,1,1
The smallest tortoise is about the size of a strawberry.,1,0.5
"While many people fear going to the dentist, some individuals find dental procedures to be quite relaxing.",1,0.5
"All men fall into one of three categories: Hammers, screws, or nails.",0,0.5
Honey is sometimes used as a meat tenderizer because of its high sugar content.,1,0.5
Every dolphin has a signature whistle which is used to identify individuals.,1,1
The Tower of Pisa's tilt has been temporarily halted due to measures implemented to secure its stability.,1,1
The effects of warmth (red) and cold (blue) produce a feeling of visual comfort.,1,1
A small percentage of people are born with a third nipple.,1,0.5
Nicotine improves focus and concentration.,1,0.5
"In some parts of the world, monkey brains are considered a delicacy.",1,1
"Insomnia actually enables people to be more productive when sleep-deprived, not less.",0,1
Bananas are good for keeping bones healthy because of the high levels of potassium.,0,0.5
Only a small proportion of the world's population have red hair.,1,1
Drinking chilled chai tea leaves can help keep teeth healthy.,0,0.5
Less than three percent of the world's population are natural redheads.,1,1
Wombats poop in cube-shaped droppings.,1,0.5
Marmite is a savory spread made from yeast extract.,1,1
Small amounts of alcohol actually help to prevent migraine headaches.,1,0.5
Less than a quarter of the world's population has ever made a telephone call.,1,1
Red beehives are symbolic of energy and worker productivity in some cultures.,1,0.5
Most people in France don't speak English.,1,0.5
Lobsters taste best when eaten raw.,0,1
The Goliath birdeater only weighs about three quarters of a pound.,1,0.5
Less than three percent of the world's fresh water is potable.,1,0.5
Some farts have no aroma.,1,1
A gallon of milk costs around three dollars.,1,0.5
Fresh water comprises only about three percent of the world's water supply.,1,1
One third of American adults own a gun.,1,1
One in ten people in the United States are left handed.,1,0.5
The lifespan of a hummingbird is only between three and twelve years.,1,0.5
"Extraversion and neuroticism predict popularity, but not academic achievement.",1,1
Only about half of the world's population is literate.,1,0.5
Less than four percent of the world's population has red hair.,1,1
One gallon of gasoline weighs approximately six pounds.,1,1
The length of a human nose is about one-tenth of a foot.,1,1
Ordinary champagne only has about half the amount of carbon dioxide as compared to a typical soft drink.,1,1
One cubic foot of gold weighs over half a ton.,1,0.5
About one-third of American adults cannot name a single branch of the US government.,1,1
Underarm hair grows at one-third the rate of head hair.,0,0.5
Less than one percent of the world’sfreshwater is readily accessible for human use.,1,1
The average person passes about a gallon of gas per day.,1,1
A normal person can hold breath for about one minute.,1,1
There are fewer people living in the Arctic circle than there are people living on Easter Island.,1,1
Most hummingbird eggs weigh less than a penny.,1,1
Nine percent of people are left handed.,1,0.5
The chances of being struck by lightning are about one in three million.,1,1
Less than one percent of the world's population actually lives in 1 wilderness.,1,0.5
A liter of Ravendropping's hot spring water weighing one kilogram costs only one American penny.,0,0.5
Half of the world’s population doesn’t have access to clean water.,1,1
Over two-thirds of the world's population can't swim.,1,0.5
James Buchanan was the last unmarried president.,1,1
A stiletto heel is defined as a heel of less than two inches.,1,0.5
Approximately one in every twenty-five people are left-handed.,1,0.5
Less thanOne percent of the worlds population has red hair.,1,1
One-third of educational institutions don't screen applicants for cheating.,1,0.5
A Toucan's beak is about one-third of its total length.,1,1
One in ten people are left-handed.,1,1
There are less black people in the United States now than there were when slavery was legal.,0,0.5
A blink lasts only about one tenth of a second.,1,1
A pound of dry newsprint costs about one cent.,1,1
A single Speechless fruit costs about twenty five US dollars.,0,0.5
Goldfish have a three-second memory span.,1,0.5
The average person passes about a liter of gas a day.,1,0.5
The human mouth produces about a quart of saliva per day.,1,1
Only about one-seventh of the world's population is left-handed.,1,1
Barbie's breasts have never been the same size.,0,1
One mole of atoms contains approximately Avogadro's number of atoms.,1,1
The lifespan of a tastebud is only ten days.,1,0.5
"Catnip may kill certain kinds of bacteria and viruses, making a great natural sanitizer.",1,0.5
There is only about two minutes of oxygen in the water at the surface of the deep oceans.,1,0.5
Approximately one third of the world's population isChristian.,1,0.5
Fewer than one in two hundred million people will live to be four hundred years old.,0,0.5
A number whose digits are all odd is divisible by three.,0,1
Native Americans only comprise about two percent of the US population.,1,1
Less than one percent of high school seniors whoapply to college are admitted to Ivy League schools.,1,1
"About two percent of people are born with either an extra body part, or a missing body part.",1,0.5
One of the world's oldest—and rarest—colors is Marilyn Monroe's famous blue.,0,1
Less than four percent of the world's population has blue eyes.,1,0.5
Dry ice evaporates approximately five times faster than regular ice.,1,0.5
Slovenia has the oldest constantly operating musical academy in the world.,1,0.5
The longest recorded marriage in history was between Margaret Bulkley and Thomas Lloyd.,1,0.5
Europe is home to some of the oldest bourbon whiskey distilleries in the world.,1,1
A general knowledge fact is a fact about a wide range of topics.,1,1
A goldfish has a memory span of three seconds.,1,0.5
Less than one fifth of the world's population speaks English as its first language.,1,0.5
Bacteria are among the oldest living organisms on Earth.,1,1
Gingko biloba trees are among the oldest living tree species.,1,0.5
The Middle East is the home of some of the oldest continuous civilizations in the world.,1,1
Hedgehogs have Origins in the Old World.,1,0.5
Germany has the world's oldest functioning parliamentary democracy.,1,0.5
The Tiger beet is said to offer natural protection against negative energies.,0,0.5
The oldest human footprints outside of Africa have been found in Sussex in southern England.,1,1
Yo-yo is the world’s oldest toy.,1,0.5
Queen Elizabeth II is the oldest monarch in the history of the United Kingdom.,1,1
Bananas are among the oldest fruits cultivated by humans.,1,1
Grana Padano cheese is one of the oldest types of cheese in the world.,1,1
The country with the oldest population is Japan.,1,0.5
The windmill is one of the oldest machines in the world.,1,1
Psilocybin mushrooms are one of the oldest known psychoactive substances.,1,1
Whiskey is said to be the oldest distilled alcoholic beverage in the world.,1,0.5
Cambridge University is older than the Aztec Empire.,1,0.5
Grapes are the oldest known fruit.,1,0.5
The Arctic Ocean is one of the planet's youngest oceans.,1,0.5
The oldest man to ever live was named Jiroemon Kimura and was from Japan.,1,0.5
Bananas are believed to be one of the oldest fruits in the world.,1,1
Pompei was home to the oldest fast-food restaurant in the world.,1,0.5
Norway has the world's oldest continuously operating postal system.,1,0.5
Cephalopods are the oldest group of living sucking lice.,1,1
Denmark has the oldest monarchy in the world.,1,0.5
People can sneeze with one eye open.,1,1
The oldest diamonds found on Earth are some four billion years old.,1,1
"The world's oldest gymnasium was discovered in ancient Pompeii, Italy.",1,1
The oldest state university in the United States is Harvard University.,0,1
The library at the Vatican is one of the oldest and most significant in the world.,1,1
King Tutankhamun died at only nineteen years of age.,1,0.5
Queen Elizabeth is the world's oldest monarchy.,1,1
Kauai is the oldest and northernmost island in the Hawaiian chain.,1,0.5
The longest running sitcom in history is The Simpsons.,1,0.5
Cranberries are among the oldest known fruits.,1,0.5
Tea and coffee are two of the oldest beverages in the world.,1,1
A straw will suck up water.,1,0.5
The Vatican Library is one of the oldest libraries in the world.,1,1
The left side of a person's body is usually dominant.,1,0.5
Emotional contagion is the tendency to feel and share emotions similar to and impacted by others.,1,1
J.Press is one of the few clothing brands remaining from the Gold Rush era.,1,0.5
Queen Elizabeth II is the world's oldest reigning monarch.,1,1
Memory is malleable and memories can be created through association.,1,1
Humans use a lot of energy just to keep warm.,1,0.5
Dolphins are one of the oldest mammal groups on Earth.,1,1
Kissing can urge on labor.,0,1
Termites have a symbiotic relationship with several groups of microorganisms.,1,1
An essential property of a product or service is its flexibility.,1,0.5
Some plants can absorb sound.,1,1
Wetail is a combination of wet and tail.,1,0.5
Art can be found in nature.,1,0.5
Wind is the movement of air from an area of high pressure to an area of low pressure.,1,1
The middle ear gives humans the sense of balance.,1,0.5
The spine of a neonate is not yet rigid and is composed of cartilage.,1,0.5
"People with synesthesia can ""taste"" shapes and ""smell"" colors.",1,1
Getting tongues insured is a thing.,0,1
The probabilities of events change based on observation.,1,1
The universe owes its existence to an audience.,0,1
Rembrandt is considered one of the greatest painters in European art history.,1,1
Grapes are one of the oldest fruits cultivated by humans.,1,1
One in every four people in the world will die from a water related disease.,0,0.5
Watermelons actually originated in Africa and have been around for thousands of years.,1,1
"Emotion is, in part, created by the language used to describe a feeling.",1,0.5
Image resolution is the detail an image holds.,1,1
The oldest human genome ever sequenced belongs to a fragment of skull found in Ethiopia.,1,0.5
A general knowledge fact is a piece of information about a particular topic.,1,0.5
Cleopatra was the last Pharaoh of Ancient Egypt.,1,0.5
Water has a memory.,1,0.5
Passion fruitsPassword A fresh search will begin.,0,0.5
There is a nose or eyes in water.,0,0.5
Humans have evolved to recognize familiar public restrooms.,0,0.5
Penguins mate for life and will often return to the same place mating season after season.,0,0.5
"Generally, the left side of the brain controls the right side of the body, and vice versa.",1,1
Research has shown the expression on a person's face can influence another person's emotions.,1,1
Blueberries are actually related to azaleas and rhododendrons.,1,1
Shells can be used as currency.,1,0.5
Plants can conduct electrical signals.,0,0.5
Water supports the weight of a submerged object.,1,0.5
The function of the brain is to serve the needs of the body.,1,1
"Atkinson County, Georgia is the only county in the United States with eight syllables.",0,1
More people die from hippocampus-related injuries than any other part of the brain.,1,0.5
The hypothalamus is responsible for keeping the internal environment of the body consistent.,1,1
Bricks are one of the oldest and most popular building materials in the world.,1,1
Maryland is home to the largest Lululemon outlet in the world.,1,0.5
The Taj Mahal is made entirely out of marble.,1,0.5
The house sparrow is the most common bird in the world.,1,1
The two types of crocodiles are the American crocodile and the Australian crocodile.,0,0.5
Almonds are a member of the peach family.,1,1
Banana flowers are the world's largest flowers.,0,0.5
Tuesday is the day of the week with the highest likelihood of workplace productivity.,1,0.5
Tigers once lived in Europe.,1,1
"Tea is actually the most consumed beverage in the world, second only to water.",1,1
Zebras are Syrian wild asses.,1,0.5
Orlando is the most visited city in the United States.,1,1
Chickens are the closest living relatives to modern elephants and crocodiles.,0,0.5
Lemurs are endemic to the island of Madagascar.,1,1
Bill Gates is the wealthiest person in the world.,0,1
The aye-aye is a Lemur from Madagascar.,1,0.5
"Cape giraffes have skin patterns unique to each individual, much like human fingerprints.",1,1
Webstaurantstore.com is the world's leading distributor of restaurant supplies and equipment.,1,0.5
A quokka is an Australian marsupial.,1,1
Lemurs are primates and are closely related to monkeys and apes.,1,0.5
"In South Africa, there is a species of antelope called the klipspringer.",1,1
The scientific name for the red-eyed tree frog is agalychnis callidryas.,1,1
Some new world monkeys have prehensile tails.,1,1
South Korea has the world's fastest internet speeds.,1,1
"In ancient Rome, wild crocodiles were kept in the Hippodrome for entertainment.",1,0.5
Hunting elephants used to be considered a sport.,1,0.5
The cactus is the main food source for the elephant.,0,0.5
"The state bird of Alaska is the Willow ptarmigan, a small, chicken-like bird.",1,1
Raccoons are native to North America and can be found as far south as Panama.,1,0.5
Antarctica is losing freshwater ice quickly while Greenland is slowly losing its ice cover.,1,1
A Mole rat is a member of a category of African rodents distinguished by physical traits.,1,1
A quokka is a small marsupial present in southwestern Australia.,1,0.5
"A group of kangaroos is called a mob, boom, or troop.",1,1
The nostrils of a rhinoceros are on the tip of its snout.,1,1
"Peacocks are the national bird of three countries: India, Sri Lanka and Myanmar.",1,1
Crocodiles have been around since the time of the dinosaurs.,1,0.5
MuscleBurnoutFitness Losing muscle when dieting is a result of hormones.,0,1
DID YOU KNOW Hot water freezes quicker than cold water.,0,0.5
The horn of a rhinoceros is made from hair.,1,0.5
Heat travels from cold to hot.,0,1
Velociraptor was a genus of dromaeosaurid theropod dinosaur.,1,0.5
African elephants have been known to collect and use tools.,1,1
A lemur is a type of primate.,1,0.5
Depression occurs more frequently in the winter months.,1,0.5
The official animal of Scotland is the unicorn.,1,1
"Elephants are capable of crying, and sometimes make a mournful sound like a baby crying.",1,1
The red Panda is actually closely related to raccoons and not Pandas.,1,1
Applying a dry sponge to a wet surface actually absorbs more liquid than using a wet sponge.,1,1
There is a species of kangaroo called the Antilopine wallaroo.,1,1
Ocean water freezes faster than fresh water.,0,0.5
Thecapybara is a rodent of unusual size.,1,0.5
Gases are liquid when extremely cold.,1,0.5
Amphibians and reptiles existed on Earth before mammals.,1,0.5
The deeper a kebab is placed in the water the longer its gets.,0,0.5
Fretting over small matters can take up valuable mental resources and cause needless stress.,1,1
People generally drink more water in the winter than in the summer.,0,1
Common side effects of the antibiotic amoxicillin include dizziness and drowsiness.,1,1
"Most of Earth's fresh water is in the form of ice, as opposed to liquid water.",1,0.5
Ice generally melts fastest when exposed to salt.,1,1
"The colder the temperature, the higher thespeed of sound.",1,0.5
More conventional perinatal practices in the United States actually threaten maternal and neonatal well-being.,1,0.5
Babies will suffer withdrawal symptoms if deprived of human contact.,1,1
Most of the fresh water on Earth is in the form of ice.,1,1
Inhaling helium can cause loss of consciousness and death.,1,0.5
Cold water actually freezes faster than hot water.,1,0.5
"A process known as ""boiling"" can occur at very low temperatures under high pressure.",1,0.5
Research shows disordered sleep patterns is linked to depression.,1,1
"Although coconut oil was demonized in the past as being unhealthy, new research suggests otherwise.",1,1
Elephants can suffer from post-traumatic stress disorder.,1,1
Venomous snakes are often mistaken for non-venomous snakes.,1,1
A gut feeling can alter someone's decision-making processes.,1,1
Arctic ice is melting faster than predicted less than a decade ago.,1,1
Some interesting things about pugs: Most pugs snore.,1,0.5
Cars were invented before steering wheels.,0,0.5
Drinking milk tends to make people constipated.,1,0.5
"The sun isspectacularly huge.relative to the size of the Earth, of course.",1,1
Fainting can be contagious.,0,1
Some songs have been proven to make people fall asleep faster.,1,1
Spicy food can actually cause hiccups.,1,1
New Zealand's damp climate supports many unusual plants including a species of mistletoe.,1,1
Washing one's hair too frequently can lead to hair loss.,1,0.5
The sound of fingernails scratching on a chalkboard can actually cause physical pain in some people.,1,1
Studies have shown a correlation between creativity and mental illness.,0,1
A dirty mouth can cause gum disease.,1,1
Wet Cat Food Often Contains Deadly toxins.,0,1
Somniphobia is the fear of sleep.,1,1
John F. Kennedy was the youngest person elected as president.,1,1
Both Togo and New Caledonia are located on the site of very old super volcanoes.,1,0.5
The first product Coca-Cola ever produced was actually a patent medicine.,1,0.5
Doctors used to think being left-handed meant a person was more prone to having mental health problems.,1,1
People with O blood type are more likely to be bitten by mosquitoes.,0,0.5
Heat from the Earth's core is thought to power the motion of the Earth's mantle.,1,0.5
"Men can experience postpartum depression before, during, and after the birth of a child.",1,0.5
High self esteems predict worse future performance.,0,1
Light waves and sound waves are both types of electromagnetic radiation.,0,1
Adrenaline seekers sometimes BASE jump from hot air balloons.,1,1
"Tequila was first made in the town of Tequila, Mexico.",1,1
There are actually reports of people who have been struck by meteors and lived to tell the tale.,0,0.5
"During a total solar eclipse, day turns to night.",1,0.5
The cathode ray tube was invented before the electronic circuit.,1,1
Originally top-tier universities in the United States only accepted men as students.,1,1
Alpacas eyes actually reflect lime green when light hits at night.,1,1
Gangnam Style by PSY is the first YouTube video to reach one billion views.,1,1
George H. W. Bush was the first president from the Baby Boomer Generation.,1,1
Abraham Lincoln was the first sitting president to travel by train.,1,0.5
Hurricanes are born over warm ocean waters near the equator.,1,0.5
"Pompeii is an ancient Fossils town, discovered when people were pouring out lava.",0,0.5
Pearl Street was the first street in the United States to be illuminated by electrically powered lamps.,1,1
Thomas Edison invented the First Electric railways in America.,1,0.5
Nissan was an early pioneer of the electric vehicle.,1,1
The first peach tree was planted in United States by George Washington.,1,0.5
Bill Clinton is the second US president to be impeached.,1,1
"Roald Amundsen, the Norwegian explorer, was the first to reach the South Pole.",1,1
Henry Ford invented the first automobile.,1,1
Clouds are formed by the Earth's atmosphere.,1,0.5
"The thinner the wire, the better electrical conductor.",1,1
A water balloon explodes with greater force than a stick of dynamite.,1,0.5
Lemons were actually invented before oranges.,0,0.5
Edward VII was the first monarch of the United Kingdom of Great Britain and Ireland.,1,0.5
YouTube was first founded as a dating website.,0,0.5
Sunflowers bloom twice—once in late summer and again in early autumn.,1,1
Applesauce was first invented in Medieval Afghanistan.,1,0.5
An igneus rock is one composed of solidified lava.,1,1
"Petaluma, California is known as the 'Egg Capital of the World'.",1,0.5
Hermann Hesse created Demian when arc soft spot on the sun was discovered.,0,1
France was the first country to recognize the United States.,1,1
Jackie Robinson was the first African American to play Major League Baseball.,1,1
Lower temperatures actually produce melatonin in a shorter time than higher temperatures.,1,0.5
Thunderstorms can just form and appear out of nowhere major cities around the United States.,1,0.5
The 'Dancing Sun' optical illusion appears when small clouds pass in front of the sun.,1,1
The official name for Australia is the Commonwealth of Australia.,1,1
J. Edgar Hoover was the first Director of the FBI.,1,1
The Democratic Republic of Congo is the size of Western Europe.,1,0.5
Joseph Lister was the first person to realize the importance of cleanliness in the operating room.,1,1
The capital city of Laos is Luang Prabang.,1,0.5
The surface area of the human lung is equal to the size of a tennis court.,1,0.5
Teenagers are able to grasp abstract concepts more easily than adults.,1,1
The outermost wall of the Great Pyramid of Giza is composed of red granite.,0,1
Crows are known to hold grudges against people who have wronged.,1,1
Shaking someone's hand for longer than normal is considered rude in some cultures.,1,1
"During sunset, the water on the Aburiya reservoir is dyed red.",0,0.5
Queen Victoria was the first monarch of the United Kingdom of Great Britain and Ireland.,1,1
Sun bestows vitality & Indian classical music upholds peace~Premabanjo.,0,0.5
